ID,SMILES,CATEGORY
CHEMBL472904,CCC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(Cl)cc1,MAOB
CHEMBL473309,CCC(=O)N1N=C(c2ccc(C)cc2)CC1c1ccc(OC)cc1,MAOB
CHEMBL3408907,CC(=O)NNc1nc2ccccc2nc1Cc1ccccc1,MAOB
CHEMBL489084,CCC(=O)N1N=C(c2ccc(OC)cc2)CC1c1ccccc1,MAOB
CHEMBL3408928,CC(C)CC(NC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)C(=O)OC(C)(C)C,MAOB
CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,MAOB
CHEMBL3577038,COC(=O)CCCNC(=O)C(=O)c1ccccc1NC(C)=O,MAOB
CHEMBL3577044,COC(=O)C[C@H](NC(=O)c1ccc(NC(=O)C(=O)c2ccccc2NC(C)=O)cc1)C(=O)OC,MAOB
CHEMBL3585828,NNC(=O)C(Cc1ccccc1)N1C(=O)c2ccccc2NC1c1ccc(Cl)cc1,MAOB
CHEMBL3415441,N/N=C/c1ccc([N+](=O)[O-])cc1,MAOB
CHEMBL3408913,Cc1ccc(C(=O)NNC(=O)Cn2c(=O)c(Cc3ccccc3)nc3ccccc32)cc1,MAOB
CHEMBL3585807,COC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1N,MAOB
CHEMBL3585825,COc1ccc(C2Nc3ccccc3C(=O)N2CC(=O)NN)cc1,MAOB
CHEMBL3408924,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)N/N=C/c1ccc(Br)cc1,MAOB
CHEMBL221629,Fc1ccc(-c2cc(-c3ccc(F)cc3)[nH]n2)cc1,MAOB
CHEMBL3415442,N/N=C/c1ccc(Cl)cc1,MAOB
CHEMBL3585837,COC(=O)CCCCCNC(=O)c1ccccc1/N=C/c1ccccc1,MAOB
CHEMBL3585838,NNC(=O)CCN1C(=O)c2ccccc2NC1c1ccccc1,MAOB
CHEMBL3585832,COC(=O)CCCN1C(=O)c2ccccc2NC1c1ccccc1,MAOB
CHEMBL3585822,NNC(=O)CN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2,MAOB
CHEMBL3585812,COC(=O)CN1C(=O)c2ccccc2NC1c1ccc2c(c1)OCO2,MAOB
CHEMBL3585815,COC(=O)CN1C(=O)c2ccccc2NC1c1ccc(OC)cc1,MAOB
CHEMBL375616,Cc1ccc(-c2cc(-c3ccc(F)cc3)[nH]n2)cc1,MAOB
CHEMBL3408925,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)N/N=C/c1ccc([N+](=O)[O-])cc1,MAOB
CHEMBL3408927,O=C(Cn1c(=O)c(Cc2ccccc2)nc2ccccc21)N/N=C1/C(=O)Nc2ccccc21,MAOB
CHEMBL3408917,CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NNC(=O)Cn1c(=O)c(Cc2ccccc2)nc2ccccc21,MAOB
CHEMBL8706,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,MAOB
CHEMBL3585840,NNC(=O)CCN1C(=O)c2ccccc2NC1c1ccc(Cl)cc1,MAOB
CHEMBL501122,CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1,PBP
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,PBP
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,PBP
